oceanic_sector,n,connectivity_mean,connectivity_sd,links_mean,links_sd
ANC,5,0.4744897959183673,0.21113450710774043,7.6,1.140175425099138
ANE,4,0.100765306122449,0.09665865362911831,2.5,1.2909944487358056
ANW,6,0.6139455782312925,0.16525152369517287,7.666666666666667,1.505545305418162
