"geographic_km","delta_temp","bray","unifrac","bray_sim","unifrac_sim"
4097.17362526599,5.7907040566206,0.858695742985205,0.76172994964502,0.141304257014795,0.23827005035498
4318.9498453152,6.68868067860603,0.858104774733872,0.681210939896194,0.141895225266128,0.318789060103806
5592.14875758997,7.07834100723267,0.808226282340221,0.686583861599668,0.191773717659779,0.313416138400332
5882.55550334589,6.55903805047274,0.794916812200299,0.677508145850369,0.205083187799701,0.322491854149631
6129.91381829051,6.31293679028749,0.802273009501649,0.634734285868786,0.197726990498351,0.365265714131214
6466.90079203421,5.31315042078495,0.819959694323366,0.65758350349296,0.180040305676634,0.34241649650704
278.73138044292,0.714133121073246,0.685950778851193,0.699430997401667,0.314049221148807,0.300569002598333
362.95062484688,0.541276283562183,0.602775257009858,0.639100179658009,0.397224742990142,0.360899820341991
869.087950669844,2.07721182703972,0.610040493895092,0.660080766527607,0.389959506104908,0.339919233472393
1058.19601823219,2.56501968204975,0.677834376578452,0.696554955288153,0.322165623421548,0.303445044711847
1541.95699054275,3.00082399696112,0.704454439901422,0.651920622650298,0.295545560098578,0.348079377349702
3236.21188833806,5.18570512533188,0.80992371760045,0.773540924102584,0.19007628239955,0.226459075897416
3547.4825793784,5.63103121519089,0.819660933410065,0.798438366232869,0.180339066589935,0.201561633767131
3845.29852797139,5.96722311526537,0.843781258629473,0.787743432736706,0.156218741370527,0.212256567263294
264.222877075789,0.897976621985435,0.375148146364879,0.568980774383401,0.624851853635121,0.431019225616599
1505.88143156367,1.28763695061207,0.382665420390867,0.46591621320774,0.617334579609133,0.53408378679226
1804.21912016227,0.768333993852139,0.432549937981831,0.545461523396117,0.567450062018169,0.454538476603883
2058.36507745001,0.522232733666897,0.429201055218403,0.595582204016587,0.570798944781597,0.404417795983413
2401.07134523157,0.477553635835648,0.392575367927347,0.571101369602011,0.607424632072654,0.428898630397989
3824.67186326033,5.07657093554735,0.691176628640178,0.618097527305343,0.308823371359822,0.381902472694657
3746.70338131208,6.33198034018278,0.683845210142912,0.58364905716098,0.316154789857088,0.41635094283902
3228.32047783666,3.71349222958088,0.703057423617771,0.665280327089735,0.296942576382229,0.334719672910265
3041.71516514601,3.22568437457085,0.656287131696932,0.576700504536822,0.343712868303068,0.423299495463178
2570.13656545301,2.78988005965948,0.675133994290021,0.679462910054582,0.324866005709979,0.320537089945418
881.747144607548,0.604998931288719,0.456864544559956,0.5204553380747,0.543135455440044,0.4795446619253
570.969433425489,0.15967284142971,0.422390852654198,0.483304488151699,0.577609147345802,0.516695511848301
256.167774929747,0.176519058644772,0.395906564979395,0.476226017335613,0.604093435020605,0.523773982664387
1273.38150478186,0.389660328626633,0.419865100739716,0.542006646653454,0.580134899260284,0.457993353346546
1566.74045322018,0.129642628133297,0.427736345059788,0.552526325148738,0.572263654940212,0.447473674851262
1818.14494107338,0.375743888318539,0.415383490142157,0.481346346476161,0.584616509857843,0.518653653523839
2159.40375251713,1.37553025782108,0.47829890541776,0.539684748426614,0.52170109458224,0.460315251573386
4044.40722945894,5.97454755753279,0.7285192375588,0.684900400076237,0.2714807624412,0.315099599923763
3965.08002810942,7.22995696216822,0.708937901625753,0.629888400648023,0.291062098374247,0.370111599351977
3451.61578565604,4.61146885156631,0.73510188648166,0.673329506407614,0.26489811351834,0.326670493592386
3267.46750880987,4.12366099655628,0.69660614925601,0.633530205284398,0.30339385074399,0.366469794715602
2802.27459290721,3.68785668164492,0.68820955322059,0.59635470835631,0.31179044677941,0.40364529164369
1130.29062067189,1.50297555327415,0.570992327353488,0.647661913150035,0.429007672646512,0.352338086849965
