"Sample_ID","To_Sample","bNTI","RC_BC","Mechanism"
"eDNA28","eDNA16",-3.53525417521373,-0.22,"Homogeneous Selection"
"eDNA3","eDNA16",-2.58045244046003,0.46,"Homogeneous Selection"
"eDNA4","eDNA16",-2.63727800480153,0.62,"Homogeneous Selection"
"eDNA6","eDNA16",-1.82485176796437,0.24,"Drift"
"eDNA7","eDNA16",-2.20571068502378,-0.34,"Homogeneous Selection"
"eDNA9","eDNA16",-3.2006473081567,-0.17,"Homogeneous Selection"
"eDNA15","eDNA16",-5.72059009603244,-1,"Homogeneous Selection"
"eDNA1","eDNA17",-1.27629943803483,1,"Dispersal Limitation"
"eDNA18","eDNA17",-4.56831050113414,-1,"Homogeneous Selection"
"eDNA19","eDNA17",-3.25392071729862,-0.87,"Homogeneous Selection"
"eDNA25","eDNA17",-4.51969479189967,-0.87,"Homogeneous Selection"
"eDNA26","eDNA17",-2.56929947009477,-0.83,"Homogeneous Selection"
"eDNA27","eDNA17",-5.4607968506816,-0.25,"Homogeneous Selection"
"eDNA28","eDNA17",-5.02970390624586,-0.77,"Homogeneous Selection"
"eDNA3","eDNA17",-4.19306552479482,0.31,"Homogeneous Selection"
"eDNA4","eDNA17",-4.03733730693804,0.31,"Homogeneous Selection"
"eDNA6","eDNA17",-2.37968105427168,0.37,"Homogeneous Selection"
"eDNA7","eDNA17",-3.10787685332032,0.05,"Homogeneous Selection"
"eDNA9","eDNA17",-4.03657324735183,0.13,"Homogeneous Selection"
"eDNA15","eDNA17",-5.87163220141784,-0.99,"Homogeneous Selection"
"eDNA16","eDNA17",-3.87045829240839,-1,"Homogeneous Selection"
