Module,Rank,Taxon,ASV_count,Degree_sum,Mean_relative_abundance_pct_sum,Percent_nodes_within_module,Percent_degree_within_module,Percent_abundance_within_module
1,Class,Alphaproteobacteria,66,1953,37.69851078970199,42.857142857142854,40.77244258872651,61.306153563902726
1,Class,Cyanobacteriia,9,471,12.233578180611078,5.8441558441558445,9.832985386221294,19.894515907016313
1,Class,Gammaproteobacteria,40,1137,10.000597621955446,25.974025974025974,23.73695198329854,16.263193444497535
1,Class,Bacteroidia,23,810,0.8753207896030774,14.935064935064934,16.910229645093946,1.4234660632732927
1,Class,Acidimicrobiia,4,80,0.36886482381601804,2.5974025974025974,1.6701461377870563,0.5998561497385209
1,Class,Verrucomicrobiae,5,195,0.20048223581081884,3.2467532467532467,4.07098121085595,0.32602865412949056
1,Class,Unclassified class,2,79,0.08120074143149045,1.2987012987012987,1.649269311064718,0.13205044494918267
1,Class,Planctomycetes,2,21,0.013398877393703221,1.2987012987012987,0.4384133611691023,0.021789551307863954
1,Class,OM190,1,11,0.007881122964173124,0.6493506493506493,0.22964509394572025,0.012816456793024879
1,Class,Thermoplasmata,1,21,0.007839299243227895,0.6493506493506493,0.4384133611691023,0.0127484421313003
1,Class,Bdellovibrionia,1,12,0.00453893843787057,0.6493506493506493,0.25052192066805845,0.007381322260751128
2,Class,Cyanobacteriia,12,290,10.908326294243238,10.256410256410257,10.35344519814352,48.655166918516
2,Class,Alphaproteobacteria,31,856,4.516127967800832,26.495726495726494,30.560514102106392,20.143599867808305
2,Class,Gammaproteobacteria,31,711,2.4762856025340043,26.495726495726494,25.38379150303463,11.045149006295699
2,Class,Bacteroidia,22,544,1.9078394049981353,18.803418803418804,19.4216351303106,8.509668871281807
2,Class,Verrucomicrobiae,5,104,1.6235734407141822,4.273504273504273,3.7129596572652623,7.241737607730604
2,Class,Phycisphaerae,3,35,0.3863939562990238,2.5641025641025643,1.2495537308104248,1.723459853777598
2,Class,Polyangia,2,61,0.2269681697325382,1.7094017094017093,2.1777936451267403,1.0123619229610543
2,Class,Rhodothermia,1,29,0.1648211707451883,0.8547008547008547,1.035344519814352,0.7351633383523303
