Sample_1,Sample_2,bNTI,RC_BC,Mechanism,Pair_A,Pair_B,module_bray,Zone_1,Temp_1,Lon_1,Zone_2,Temp_2,Lon_2,module_similarity,temp_diff,lon_diff,zone_pair,temp_bin,pair_key,back_ab,back_ba,fwd_ab,fwd_ba,bmin_ab,bmin_ba,fmin_ab,fmin_ba,bi_connectivity_mean,bi_connectivity_max,bi_connected,bi_min_travel_days,directed_link_count,tina_dist,pina_dist,bray,bray_similarity,tina_similarity
eDNA1,eDNA18,-2.11446102889511,1,Homogeneous Selection,eDNA1,eDNA18,0.6986587517556951,ANW,26.81560716032982,-77.936917,ANC,21.02490310370922,-34.595667,0.30134124824430486,5.790704056620598,43.341249999999995,ANC-ANW,"[4,6)",eDNA1__eDNA18,0,0.02040816326530612,0,0,NA,345.25,NA,NA,0.00510204081632653,0.02040816326530612,TRUE,345.25,1,0.621946167056402,0.00760864645973069,0.857255520504732,0.14274447949526803,0.37805383294359796
eDNA1,eDNA19,-1.66789517095053,1,Dispersal Limitation,eDNA1,eDNA19,0.6940177417612798,ANW,26.81560716032982,-77.936917,ANC,20.126926481723785,-32.055683,0.30598225823872016,6.688680678606033,45.88123399999999,ANC-ANW,"[6,8)",eDNA1__eDNA19,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.598159570114214,0.00624537599024388,0.854653318502039,0.14534668149796104,0.40184042988578605
eDNA18,eDNA19,-3.02448031481236,-0.94,Homogeneous Selection,eDNA18,eDNA19,0.06382459376463925,ANC,21.02490310370922,-34.595667,ANC,20.126926481723785,-32.055683,0.9361754062353608,0.8979766219854355,2.539983999999997,ANC-ANC,"[0,1)",eDNA18__eDNA19,0.12244897959183673,0.04081632653061224,0,0.4489795918367347,234.75,145,NA,28.75,0.15306122448979592,0.4489795918367347,TRUE,28.75,3,0.0315790360706144,5.0717335965733e-4,0.374583531651594,0.625416468348406,0.9684209639293856
eDNA1,eDNA25,-1.79593970960524,1,Dispersal Limitation,eDNA1,eDNA25,0.6425286651273823,ANW,26.81560716032982,-77.936917,ANE,19.737266153097153,-17.887783,0.35747133487261773,7.078341007232666,60.049133999999995,ANE-ANW,"[6,8)",eDNA1__eDNA25,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.563265793693058,0.00534162528297788,0.808709175738725,0.19129082426127497,0.43673420630694204
eDNA18,eDNA25,-2.68156009742998,-0.75,Homogeneous Selection,eDNA18,eDNA25,0.07793742460557337,ANC,21.02490310370922,-34.595667,ANE,19.737266153097153,-17.887783,0.9220625753944266,1.2876369506120682,16.707884,ANC-ANE,"[1,2)",eDNA18__eDNA25,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.0336820558895045,4.9963077011305e-4,0.380566801619433,0.619433198380567,0.9663179441104955
eDNA19,eDNA25,-4.11059812801625,-0.84,Homogeneous Selection,eDNA19,eDNA25,0.11785201344609922,ANC,20.126926481723785,-32.055683,ANE,19.737266153097153,-17.887783,0.8821479865539008,0.3896603286266327,14.167900000000005,ANC-ANE,"[0,1)",eDNA19__eDNA25,0,0,0.04081632653061224,0,NA,NA,330.75,NA,0.01020408163265306,0.04081632653061224,TRUE,330.75,1,0.0420486119223417,8.7314230606705e-4,0.4225549836219,0.5774450163781,0.9579513880776583
eDNA1,eDNA26,-1.49984343772777,1,Dispersal Limitation,eDNA1,eDNA26,0.6063442275001584,ANW,26.81560716032982,-77.936917,ANE,20.25656910985708,-14.5402,0.3936557724998416,6.55903805047274,63.396716999999995,ANE-ANW,"[6,8)",eDNA1__eDNA26,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.542064546469535,0.00774505517252333,0.794730633110499,0.20526936688950104,0.45793545353046505
eDNA18,eDNA26,-1.76916003727977,-0.59,Drift,eDNA18,eDNA26,0.08735501145946853,ANC,21.02490310370922,-34.595667,ANE,20.25656910985708,-14.5402,0.9126449885405314,0.7683339938521421,20.055467,ANC-ANE,"[0,1)",eDNA18__eDNA26,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.0439254301105039,2.7458908165389e-4,0.431946584488957,0.568053415511043,0.9560745698894961
eDNA19,eDNA26,-3.65255660564454,-0.87,Homogeneous Selection,eDNA19,eDNA26,0.12765672336862802,ANC,20.126926481723785,-32.055683,ANE,20.25656910985708,-14.5402,0.872343276631372,0.12964262813329341,17.515483000000003,ANC-ANE,"[0,1)",eDNA19__eDNA26,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.0450999934005535,7.9125171597727e-4,0.428842504743833,0.571157495256167,0.9549000065994465
eDNA25,eDNA26,-3.51141576719261,-0.96,Homogeneous Selection,eDNA25,eDNA26,0.04579586341276292,ANE,19.737266153097153,-17.887783,ANE,20.25656910985708,-14.5402,0.9542041365872372,0.5193029567599261,3.3475829999999984,ANE-ANE,"[0,1)",eDNA25__eDNA26,0.061224489795918366,0,0.08163265306122448,0.5102040816326531,137,NA,171,44.5,0.163265306122449,0.5102040816326531,TRUE,44.5,3,0.00760983390321723,6.378741985209e-4,0.257690368129097,0.742309631870903,0.9923901660967828
