"sample_1","sample_2","tina_dist","pina_dist","geo_km","bray"
"eDNA18","eDNA1",0.621946167056402,0.00760864645973069,4097.17362526599,0.857255520504732
"eDNA19","eDNA1",0.598159570114214,0.00624537599024388,4318.9498453152,0.854653318502039
"eDNA25","eDNA1",0.563265793693058,0.00534162528297788,5592.14875758997,0.808709175738725
"eDNA26","eDNA1",0.542064546469535,0.00774505517252333,5882.55550334589,0.794730633110499
"eDNA27","eDNA1",0.551628659378673,0.00301211792792433,6129.91381829051,0.799788508988368
"eDNA28","eDNA1",0.56483564034661,0.00292581168781658,6466.90079203421,0.819898329702251
"eDNA3","eDNA1",0.330366620197456,0.00504709944791337,278.73138044292,0.68521931441209
"eDNA4","eDNA1",0.230880114429846,0.00535447692135771,362.95062484688,0.598726114649682
"eDNA6","eDNA1",0.278614760105617,0.00409369122402203,869.087950669844,0.609774157719363
"eDNA7","eDNA1",0.343369786820824,0.00542726161286589,1058.19601823219,0.676994577846631
"eDNA9","eDNA1",0.378626104427704,0.00226692891905345,1541.95699054275,0.701898960945898
"eDNA15","eDNA1",0.520364962403883,0.00419771295012661,3236.21188833806,0.806974858069749
"eDNA16","eDNA1",0.542531017082333,0.0104953549173326,3547.4825793784,0.816729718369063
"eDNA17","eDNA1",0.596261803072296,0.0142363120558929,3845.29852797139,0.843171806167401
"eDNA19","eDNA18",0.0315790360706144,0.000507173359657331,264.222877075789,0.374583531651594
"eDNA25","eDNA18",0.0336820558895045,0.000499630770113058,1505.88143156367,0.380566801619433
"eDNA26","eDNA18",0.0439254301105039,0.000274589081653898,1804.21912016227,0.431946584488957
"eDNA27","eDNA18",0.0480070256629243,0.00145200291006664,2058.36507745001,0.429718875502008
"eDNA28","eDNA18",0.0382874669976241,0.00142452309925611,2401.07134523157,0.39017608897127
"eDNA3","eDNA18",0.29558367956116,0.000661231810808016,3824.67186326033,0.689182805857345
"eDNA4","eDNA18",0.320585817486547,0.000562225674692884,3746.70338131208,0.682672233820459
"eDNA6","eDNA18",0.293195869413207,0.00113518571801841,3228.32047783666,0.70166270783848
"eDNA7","eDNA18",0.26164318259461,0.000408574078043178,3041.71516514601,0.654582074521652
"eDNA9","eDNA18",0.243575424827093,0.00195567583135092,2570.13656545301,0.672892938496583
"eDNA15","eDNA18",0.0708205779200382,0.0011536152093955,881.747144607548,0.454545454545455
"eDNA16","eDNA18",0.0536723264902061,0.000660932241350998,570.969433425489,0.422321929332586
"eDNA17","eDNA18",0.0337892797725243,0.00127136964321994,256.167774929747,0.399044205495818
"eDNA25","eDNA19",0.0420486119223417,0.000873142306067054,1273.38150478186,0.4225549836219
"eDNA26","eDNA19",0.0450999934005535,0.00079125171597727,1566.74045322018,0.428842504743833
"eDNA27","eDNA19",0.0496929313788382,0.000813858905021281,1818.14494107338,0.419650291423813
"eDNA28","eDNA19",0.0619222691834258,0.00136656489766862,2159.40375251713,0.479085812850367
"eDNA3","eDNA19",0.313956865574873,0.000869400787003705,4044.40722945894,0.726075504828797
"eDNA4","eDNA19",0.330956746586981,0.000385028528422926,3965.08002810942,0.707270101107366
"eDNA6","eDNA19",0.306136152532,0.00145579934200513,3451.61578565604,0.733451015004413
"eDNA7","eDNA19",0.282071278279249,0.000857753016340612,3267.46750880987,0.693525850023288
"eDNA9","eDNA19",0.256199357899699,0.00191701342677586,2802.27459290721,0.685059422750424
"eDNA15","eDNA19",0.108808523093133,0.00119092121155306,1130.29062067189,0.568685376661743
"eDNA16","eDNA19",0.0875565894669852,0.00102915417839955,825.21945199935,0.526748971193416
"eDNA17","eDNA19",0.0655737251252027,0.00216518285989042,509.430630954755,0.485558583106267
"eDNA26","eDNA25",0.00760983390321723,0.000637874198520905,302.575753067989,0.257690368129097
"eDNA27","eDNA25",0.0155790403633783,0.000903675739690746,559.137506189846,0.303469477382521
"eDNA28","eDNA25",0.0286786446807865,0.000693110697783217,901.753247526226,0.379216043755697
"eDNA3","eDNA25",0.294904168071621,0.000762284576192762,5317.29595309493,0.697166744078031
"eDNA4","eDNA25",0.313118780067249,0.00047280078519174,5237.66634961017,0.6875
"eDNA6","eDNA25",0.268031539701952,0.000489938766584874,4724.99098655267,0.653432975245212
"eDNA7","eDNA25",0.259752748849449,0.000220206075820739,4540.74543271982,0.642927794263106
"eDNA9","eDNA25",0.234845322530065,0.000805150161506174,4073.73571836677,0.638727028238458
"eDNA15","eDNA25",0.0994590429029547,0.000410168092905394,2386.65789669873,0.516264428121721
"eDNA16","eDNA25",0.0813668013027867,0.00146177661363223,2073.86530049253,0.48653106102254
"eDNA17","eDNA25",0.0686194398964349,0.00291201512254902,1761.862829469,0.505263157894737
"eDNA27","eDNA26",0.0172808058939936,0.00196763385883669,256.564895115293,0.315836298932384
"eDNA28","eDNA26",0.0346298412879259,0.00184290138015775,599.402483957831,0.422632794457275
"eDNA3","eDNA26",0.294621711197139,0.0011109054630174,5606.93048112671,0.702448210922787
"eDNA4","eDNA26",0.308139147125688,0.000662147040385586,5526.73706810474,0.679667186687468
"eDNA6","eDNA26",0.264662423820476,0.000858386749361117,5016.55413579699,0.65530303030303
"eDNA7","eDNA26",0.261029336424639,0.000456304774004046,4833.40387821412,0.648770697441044
"eDNA9","eDNA26",0.237919234525968,0.00208208091192652,4368.93558414511,0.661217075386013
"eDNA15","eDNA26",0.11078148359873,0.00158309193878603,2685.7343189237,0.566329248801279
"eDNA16","eDNA26",0.0917873534503905,0.000672570545377615,2373.46677126696,0.510614525139665
"eDNA17","eDNA26",0.0792763071735365,0.00122490466937863,2060.37509230311,0.518143961927424
"eDNA28","eDNA27",0.0286423797899111,0.000367318360946833,343.205611354872,0.338755591703945
